美国:道琼斯工业平均指数,美国:标准普尔500指数,美国:纳斯达克综合指数
27198.02,3013.18,8273.61
26864.27,2980.38,8175.42
26583.42,2953.56,8111.12
26485.01,2932.05,8004.07
25717.74,2844.74,7726.04
26029.52,2881.77,7833.27
26007.07,2883.98,7862.83
26378.19,2938.09,8039.16
26287.44,2918.65,7959.14
25907.37,2883.75,7863.41
26279.91,2926.32,8016.36
25479.42,2840.60,7773.94
25579.39,2847.60,7766.62
25886.01,2888.68,7895.99
26135.79,2923.65,8002.81
25962.44,2900.51,7948.56
26202.73,2924.43,8020.21
26252.24,2922.95,7991.39
25628.90,2847.11,7751.77
25898.83,2878.38,7853.74
25777.90,2869.16,7826.95
26036.10,2887.94,7856.88
26362.25,2924.58,7973.39
26403.28,2926.46,7962.88
26118.02,2906.27,7874.16
26355.47,2937.78,7976.88
26728.15,2976.00,8116.83
26797.46,2978.71,8103.07
26835.51,2978.43,8087.44
26909.43,2979.39,8084.16
27137.04,3000.93,8169.68
27182.45,3009.57,8194.47
27219.52,3007.39,8176.71
27076.82,2997.96,8153.54
27110.80,3005.70,8186.02
27147.08,3006.73,8177.39
27094.79,3006.79,8182.88
26935.07,2992.07,8117.67
26949.99,2991.78,8112.46
26807.77,2966.60,7993.63
26970.71,2984.87,8077.38
26891.12,2977.62,8030.66
26820.25,2961.79,7939.63
